活动规则|Promotion Rules
活动时间|Promotion time
活动未开始|Promotion does not start
活动时间|Promotion time
活动时间|Promotion time
活动已结束|The event is over
金额上限|Maximum amount
金额下限|Minimum amount
享受优惠的会员等级|Eligible member level
优惠方式|promotion method
优惠范围|Offer Range
优惠商品|Offer
库存|In stock
销量|Sold
此处没有内容|There is no content here
赠品|Gifts
特惠品|Specials
库存|in stock
销量|Sold
活动页|Events page
异步数据|Asynchronous data
订单列表|Order List
活动未开始|Promotion does not start
活动已结束|The event is over
此处没有内容|There is no content here
手机|Mobile
系统配置|System Setttings
更新字段检测|Updates field detection
操作提示|Operation notification
收起提示|Collapse notification
目的|Purpose
兼容|Compatibility
严格模式|Strict Mode
更新数据表字段的默认值|Update the default value of data table field
仅显示需要更新兼容性的数据表|Display only​ compatible data to be updated
你可以选择更新全部|You can choose to update all
或者更新单个表|Or to update a single table
防止意外|Prevent accidental
建议更新前备份一下全部数据库|Backup database before update is highly recommended
更新|Update
更新全部|Update All
数据表名|Data table
状态|status
操作|operating
有兼容问题|There are compatibility issues
更新|Update
更新|Update
收起提示|Collapse notification
提示相关设置操作时应注意的要点|Pay attention to the main points when display notification
可视化装修|Visualization
去除火狐默认事件|Remove Firefox default event
可视化装修|Visualization
去除火狐默认事件|Remove Firefox default event
可视化装修|Visualization
去除火狐默认事件|Remove Firefox default event
手机|Mobile
系统配置|System Settings
更新字段检测|Updates field detection
操作提示|Operation notification
收起提示|Collapse notification
目的|purpose
兼容|compatible
严格模式|Strict Mode
更新数据表字段的默认值|Update the default value of data table field
仅显示需要更新兼容性的数据表|Display only​ compatible data to be updated
你可以选择更新全部|You can choose to update all
或者更新单个表|Or to update a single table
防止意外|Prevent accidental
建议更新前备份一下全部数据库|Backup database before update is highly recommended
更新|Update
更新全部|Update All
数据表名|Data table
状态|status
操作|operating
有兼容问题|There are compatibility issues
更新|Update
更新|Update
收起提示|Collapse notification
提示相关设置操作时应注意的要点|Pay attention to the main points when display notification
评论列表|comment list
评论列表|comment list
评论回复|Reply to comment
我是回复用户|Reply to users
我是回复用户|Reply to users
此处没有内容|There is no content here
快来发表下评论吧|Please write a review
发送|send
文章频道|Article Channel
初始化对象|Object Initialization
设置|Set up
设置手型|set cursor hand
创建监听|Create the listener
设置需要复制的代码|Set the code to be copied
覆盖至指定|cover to
分享弹框|share popup box
回复文章|Reply to this article
回复|Reply
店铺信息商品滚动|store info product ticker
晒单列表|testimonial list
关联商品|Related Products
评论列表|comment list
评论列表|comment list
评论回复|Reply to comment
我是回复用户|Reply to users
我是回复用户|Reply to users
查看更多评论|Read more comments
快来发表下评论吧|Please write a review
发送|send
文章频道|Article Channel
初始化对象|Object Initialization
设置|Set up
设置手型|set cursor hand
创建监听|Create the listener
设置需要复制的代码|Set the code to be copied
覆盖至指定|cover to
回复文章|Reply to this article
回复|Reply
店铺信息商品滚动|store info product ticker
文章头部|Articles head
阳光小狗|Sunshine puppy
人关注|Followers
全部推荐|All Recommended
资讯|Information
单品|A single product
清单|Inventory
无图模式|No map mode
匿名用户|Anonymous User
单图模式|Single image mode
三图模式|Triple image mode
此处没有文章|There is no article here 
正在加载|loading
快捷导航|Quick Navigation
正在加载|loading
没有更多了|No more
首次加载显示第一个分类|Showing first category on the first load
切换到第一个|Switch to the first
速度为|Speed
加载|load
搜索|search
请输入搜索关键字|please enter keyword to search
微信素材文章内容|Wechat material content of the article
出价记录|Bid History
出局|Out
领先|Lead
一口价|Fixed price
保证金|Security deposit
加价幅度|Markups
拍送机构|Auction agency
未开始|has not started
最低加价|lowest bit
恭喜您|congratulations
您已|You have
拍得本次活动商品|current bid products
已结束|ended
竞拍流程|Bidding process
获取资格|Qualify
用户账号当前积分大于出价所需积分|user current point is bigger than bid point
拍的商品|Bid products
保证竞拍结束出价最低且唯一|Ensure the bid price is lowest and unique when the bid ended
获得竞拍商品|get auction products
确认订单|Confirm Order
填写订单信息|Fill Order Information
提交订单|Submit Order
支付订单|Payment orders
支付已提交的订单|pay already submitted order
竞拍成功|Auction success
支付成功后等待收货|Awaiting delivery after successful payment
竞拍完成|The auction is completed
展开|Expansion
收起|Collapse
展开|Expansion
展开|Expansion
出价记录|Bid History
领先|Lead
出局|Out
查看更多|see more
推荐拍品|Recommended auction
拍卖介绍|Auction Description
服务保障|Service Guarantee
竞拍攻略|Auction strategy
此处没有内容|There is no content here
此处没有内容|There is no content here
此处没有内容|There is no content here
悬浮|float
客服|Customer Service
客服|Customer Service
店铺|Store
收藏|Collect
未开始|has not started
我要出价|I want to bid
立即购买|Buy now
已结束|Ended
悬浮|float
快捷导航|Quick Navigation
拍卖活动|Auction
相册|Gallery
展开全部内容|Expand all content
现在已经是最低拍价|Now is the lowest Bid
商品详情相册切换|Product Details album switching
店铺信息商品滚动|store info product ticker
倒计时|Countdown
解析字符串|Parsing a string
返回整数|Returns an integer
如果未定义时间|If no time has been set
则我们设定倒计时日期是|then countdown time is set to
现在将来秒差值|Second difference between present and future
月份|month
以实际平均每月秒数计算|based on average monthly second to calculate
年份|year
按按回归年|according to tropical year
秒算|Seconds count
结束了|ended
商品名称|product name
默认|default
开始时间|Starting time
结束时间|End Time
起拍价|Starting price
一口价|Fixed Price
我要出价|I want to bid
立即购买|Buy now
竞拍结束|The auction is ended
此处没有内容|There is no content here
搜索|search
请输入搜索关键字|please enter keyword to search
提示|prompt
商家中心|Merchant Center
页面将在|The page will redirect in
秒后跳转| seconds
点击返回|click back
自动跳转|Automatically redirect
页面将在|The page will redirect in
秒后跳转|seconds
提示|prompt
批发首页|Wholesale Home
批发列表|Wholesale list
进货单|Purchased list
求购信息|Procurement info
获取节点|Get node
绑定|Binding
事件|event
阻止页面的滑动默认事件|Prevent page default scrolling event 
快速导航|Quick navigation
顶部|Top
首页|Home
搜索|Seach
分类|Category
购物车|Shopping Sart
个人中心|Profile
图片放大后模版|Image enlarged template
分享内容|Share content
用户确认分享后执行的回调函数|Execute callback function after user confirmed sharing
分享统计|Share Statistics
